BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers,SR
Ariani,lbw,,D Lohia,3,17,0,0,17.65
Ayu Kurnia,b,,B Vicky,0,5,0,0,0.00
Wesika,ct,D Lohia,D Lohia,5,10,0,0,50.00
Desi,ct,E Pokana,S Ambo,19,23,3,0,82.61
Thersiana Feibrene Catrina Penu Weo,b,,D Lohia,0,2,0,0,0.00
Talia,ct,H Tau,S Ambo,0,1,0,0,0.00
Gek Ulan,,,,15,34,1,0,44.12
Devi,ctw,C Ute,S Ambo,0,1,0,0,0.00
Dwik,b,,D Lohia,3,5,0,0,60.00
Yoland,b,,D Lohia,0,4,0,0,0.00
Sandia,,,,3,19,0,0,15.79
Sang Ayu,,,,0,0,0,0,
Ika,,,,0,0,0,0,
Cao,,,,0,0,0,0,
